"ID","SexF","Twin","HornType","BirthYear","PopSize","BirthWt","Age","MumID","MumAge","ELISARunDate","PlateNumber","StorageTime","CapHour_Tertiles","IGF1","Weight","ForeLeg","HornLen","BredAsAYearling","Survival"
118,"0",0,"Normal",2016,444,2.150000095,110,118,4,"7/3/2024",1,7,"Morning",851.1814639,15.3,107,130,0,0
114,"1",0,"Scurred",2016,444,2.400000095,108,114,4,"7/3/2024",1,7,"Afternoon",706.00194045,12.7,108,NA,0,1
162,"0",0,"Normal",2016,444,NA,108,162,3,"7/3/2024",1,7,NA,841.6779065,12,106,128,0,0
137,"1",0,"Normal",2016,444,2.5,110,137,3,"7/3/2024",1,7,"Evening",629.33460545,13.1,115,62,1,0
136,"0",0,"Normal",2016,444,3.099999905,110,136,4,"7/3/2024",1,7,"Evening",887.5464395,16.35,118,161,0,0
101,"0",0,"Normal",2016,444,2.099999905,110,101,6,"7/3/2024",1,7,"Afternoon",631.97423315,13.6,112,158,0,0
148,"1",0,"Scurred",2016,444,1.75,101,148,4,"7/3/2024",1,7,"Afternoon",551.33091865,11.55,108,NA,0,0
85,"1",0,"Normal",2016,444,2,113,85,3,"7/3/2024",1,7,"Morning",657.5434023,13.4,109,105,0,1
79,"0",1,"Normal",2016,444,1.820000052,116,79,9,"7/3/2024",1,7,"Morning",656.0196803,13.4,101,138,0,0
106,"1",0,"Normal",2016,444,2.5,109,106,8,"7/3/2024",1,7,"Afternoon",788.68729025,11.9,112,73,1,0
108,"1",1,"Polled",2016,444,1.649999976,109,108,9,"7/3/2024",1,7,"Afternoon",757.83668525,9.05,107,NA,0,1
117,"0",0,"Normal",2016,444,2.130000114,115,117,3,"7/3/2024",1,7,"Evening",653.2747005,15.05,111,149,0,0
151,"0",1,"Normal",2016,444,1.769999981,101,151,8,"7/3/2024",1,7,"Morning",699.3434883,12.2,107,77,0,0
122,"1",0,"Normal",2016,444,2.279999971,112,122,4,"7/3/2024",1,7,"Evening",619.48685325,11.95,114,84,1,1
144,"1",0,"Scurred",2016,444,1.600000024,109,144,7,"7/3/2024",1,7,"Evening",606.0754787,10.45,103,NA,0,0
100,"1",0,"Scurred",2016,444,2.390000105,118,100,5.456,"7/3/2024",1,7,"Afternoon",433.88357645,13.9,115,4,1,0
149,"1",0,"Normal",2016,444,1.899999976,101,149,3,"7/3/2024",1,7,"Morning",421.2582306,10,102,70,1,0
113,"1",0,"Scurred",2016,444,2.680000067,114,113,3,"7/3/2024",1,7,"Evening",561.4989288,14.2,105,NA,0,1
139,"0",0,"Normal",2016,444,3.200000048,104,139,6,"7/3/2024",1,7,"Morning",704.15921425,16.75,112,173,1,1
132,"0",0,"Scurred",2016,444,1.620000005,105,132,2,"7/3/2024",1,7,"Afternoon",644.5676531,9.85,99,22,0,0
550,"0",0,"Normal",2021,557,2.25999999,112,550,7,"7/3/2024",1,2,"Evening",567.5925848,13.35,114,167,1,0
515,"0",0,"Normal",2021,557,2.880000114,117,515,6,"7/3/2024",1,2,"Afternoon",690.51367705,14.3,110,136,0,1
567,"0",1,"Normal",2021,557,2,110,567,5,"7/3/2024",1,2,"Evening",595.2715052,12.3,106,127,0,0
492,"1",0,"Polled",2021,557,3.150000095,131,492,9,"7/3/2024",1,2,"Morning",400.6005574,13,107,NA,1,0
532,"0",0,"Normal",2021,557,2.569999933,122,532,9,"7/3/2024",1,2,"Morning",406.9004078,14.35,111,58,0,0
569,"0",0,"Scurred",2021,557,2.819999933,103,569,7,"7/3/2024",1,2,"Afternoon",425.7453961,12.4,115,3,0,0
496,"0",0,"Normal",2021,557,2.400000095,114,496,8,"7/3/2024",1,2,"Afternoon",620.47260355,12.15,109,64,0,1
535,"0",0,"Normal",2021,557,1.669999957,114,535,8,"7/3/2024",1,2,"Afternoon",394.8190651,6.5,95,72,0,0
556,"0",0,"Normal",2021,557,2.160000086,114,556,9,"7/3/2024",1,2,"Morning",788.7865017,13.3,108,149,0,1
561,"1",0,"Polled",2021,557,2.299999952,111,561,3,"7/3/2024",1,2,"Afternoon",597.3558416,12.95,108,NA,1,0
557,"0",0,"Normal",2021,557,2.549999952,109,557,9,"7/3/2024",1,2,"Afternoon",808.6980542,12.55,112,128,0,1
491,"1",1,"Polled",2021,557,1.610000014,134,491,6,"7/3/2024",1,2,"Morning",496.1171552,9.15,98,NA,0,0
524,"1",0,"Normal",2021,557,2.619999886,119,524,5,"7/3/2024",1,2,"Morning",634.9681113,17.35,113,95,1,1
510,"1",0,"Scurred",2021,557,3,115,510,5,"7/3/2024",1,2,"Afternoon",645.4105916,14.75,122,2,1,1
572,"1",0,"Scurred",2021,557,2.599999905,111,572,12,"7/3/2024",1,2,"Morning",470.06740405,10.2,107,1,0,0
562,"1",0,"Scurred",2021,557,2.450000048,113,562,5,"7/3/2024",1,2,"Morning",597.7236722,13.3,110,NA,0,1
541,"1",0,"Scurred",2021,557,2.299999952,116,541,3,"7/3/2024",1,2,"Morning",482.3385022,12.9,112,1,1,0
529,"1",0,"Scurred",2021,557,2.099999905,120,529,3,"7/3/2024",1,2,"Evening",558.0679791,10.6,99,2,0,0
576,"1",0,"Normal",2021,557,3,109,576,5.456,"7/3/2024",2,2,"Morning",596.81233825,14.45,114,90,1,0
516,"1",1,"Scurred",2021,557,1.200000048,122,516,6,"7/3/2024",2,2,"Evening",477.1934582,7.65,93,1,0,0
533,"0",0,"Scurred",2021,557,2.819999933,112,533,6,"7/3/2024",2,2,"Afternoon",585.81425155,14.45,118,19,0,1
546,"0",1,"Normal",2021,557,1.850000024,111,546,9,"7/3/2024",2,2,"Afternoon",807.66976835,15.5,113,166,0,0
548,"1",0,"Polled",2021,557,2.670000076,117,548,6,"7/3/2024",2,2,"Evening",607.53974225,15,111,NA,1,0
523,"1",0,"Scurred",2021,557,1.639999986,121,523,3,"7/3/2024",2,2,"Evening",401.08972535,10,101,2,0,0
493,"0",0,"Normal",2021,557,2.49000001,129,493,4,"7/3/2024",2,2,"Morning",626.12356225,18.9,127,171,0,0
531,"1",0,"Polled",2021,557,2.369999886,113,531,6,"7/3/2024",2,2,"Afternoon",506.1747467,15.05,111,NA,1,0
552,"0",0,"Normal",2021,557,2.299999952,115,552,3,"7/3/2024",2,2,"Morning",544.50875375,13.95,111,109,0,0
539,"0",1,"Normal",2021,557,1.470000029,113,539,9,"7/3/2024",2,2,"Evening",561.40522445,7.85,97,70,0,1
525,"0",0,"Scurred",2021,557,2.720000029,114,525,3,"7/3/2024",2,2,"Afternoon",543.30500695,16.7,119,30,0,0
574,"0",1,"Scurred",2021,557,2.25,113,574,5.456,"7/3/2024",2,2,"Evening",764.94656965,12.95,107,16,0,0
586,"1",0,"Polled",2021,557,NA,124,586,5.456,"7/3/2024",2,2,"Afternoon",629.41514775,11.95,108,NA,0,1
549,"0",0,"Normal",2021,557,2.650000095,115,549,10,"7/3/2024",2,2,"Morning",759.59449625,13.15,116,168,0,0
494,"1",0,"Scurred",2021,557,1.809999943,127,494,2,"7/3/2024",2,2,"Afternoon",452.07114705,9.05,104,NA,0,1
530,"1",0,"Normal",2021,557,2.640000105,120,530,4,"7/3/2024",2,2,"Evening",586.3148146,12.85,115,65,0,1
514,"1",0,"Polled",2021,557,1.700000048,116,514,2,"7/3/2024",2,2,"Afternoon",474.74250585,10.75,101,NA,0,0
517,"0",1,"Normal",2021,557,1.720000029,122,517,6,"7/3/2024",2,2,"Afternoon",394.96572885,9.9,101,101,0,0
578,"1",0,"Normal",2021,557,1.710000038,106,578,2,"7/3/2024",2,2,"Afternoon",370.8038662,8.95,96,67,0,1
521,"0",0,"Normal",2021,557,1.399999976,107,521,2,"7/3/2024",2,2,"Morning",476.52699305,9.3,97,117,0,0
165,"0",0,"Normal",2016,444,NA,121,165,8,"7/3/2024",2,7,"Morning",690.93733815,12.25,112,140,0,0
157,"1",0,"Polled",2016,444,NA,96,157,3,"7/3/2024",2,7,"Afternoon",857.523726,11.85,108,NA,1,0
81,"0",0,"Scurred",2016,444,2.400000095,109,81,4,"7/3/2024",2,7,"Morning",978.52284175,15.25,116,67,0,1
103,"0",1,"Normal",2016,444,1.809999943,110,103,6,"7/3/2024",2,7,"Morning",668.88982775,12.3,113,131,0,0
109,"0",0,"Scurred",2016,444,1.919999957,110,109,4,"7/3/2024",2,7,"Morning",496.2974736,12.35,106,1,0,0
83,"1",0,"Polled",2016,444,2.339999914,114,83,4,"7/3/2024",2,7,"Afternoon",689.94960315,12.95,114,NA,1,0
119,"1",0,"Polled",2016,444,2.279999971,107,119,6,"7/3/2024",2,7,"Afternoon",644.34702335,12.6,111,NA,1,1
166,"0",0,"Normal",2016,444,NA,121,166,4,"7/3/2024",2,7,"Afternoon",817.8213654,10.25,111,85,0,0
164,"0",0,"Normal",2016,444,NA,111,164,6,"7/3/2024",2,7,NA,733.95170915,10.4,104,69,0,0
147,"0",0,"Normal",2016,444,2.75,107,147,5.456,"7/3/2024",2,7,"Evening",593.01265175,15.35,112,159,0,0
133,"1",0,"Scurred",2016,444,3.150000095,111,133,4,"7/3/2024",2,7,"Evening",683.97413605,12.9,111,3,1,0
124,"1",0,"Polled",2016,444,1.960000038,112,124,5.456,"7/3/2024",2,7,"Evening",589.57567005,12.35,114,NA,0,0
87,"1",0,"Normal",2016,444,2.230000019,118,87,5.456,"7/3/2024",2,7,"Evening",738.36940425,13.15,108,93,0,0
84,"0",0,"Normal",2016,444,2.25,113,84,4,"7/3/2024",2,7,"Morning",685.68052405,14.75,111,121,0,NA
